LGA Name,LGA,Region,Loss,SEIFA Score,SEIFA Rank,SEIFA Rank Country,SEIFA Rank Metro,Adult 2022,Adults Per venue,EGM per 1000 Adults,EXP per adult,Workforce Jun 22,Unemployed Jun 22,Unemployment rate Jun 22
Whittlesea,M26,Metro,97729563.6,991,36,0,4,188501,18850,4,518,127425,5912,0.046
Nillumbik,M16,Metro,7180438.58,1099,80,0,31,50553,25277,2,142,39487,650,0.016
Ararat,C43,Country,4188923.57,942,8,6,0,9868,4934,9,425,5461,206,0.038
Northern Grampians,C14,Country,3627235.73,937,6,4,0,9140,4570,9,397,5712,181,0.032
Queenscliffe,C1,Country,1353727.22,1075,75,47,0,2589,2589,12,523,1616,17,0.011
Greater Geelong,C21,Country,104148198,994,41,35,0,217368,8695,6,479,143610,4056,0.028
Corangamite,C3,Country,2396577.43,977,28,24,0,12465,6232,5,192,8082,182,0.023
Colac Otway,C18,Country,6671347.85,961,20,17,0,17207,3441,6,388,11324,289,0.026
Hepburn,C26,Country,2698681.08,995,44,37,0,13359,6679,4,202,8037,231,0.029
Moorabool,C22,Country,9441387.02,1010,53,41,0,28782,9594,4,328,20316,784,0.039
Central Goldfields,C31,Country,6921801.62,889,1,1,0,10985,5492,9,630,5287,402,0.076
Mount Alexander,C47,Country,2291143.4,995,42,36,0,16616,16616,2,138,9544,267,0.028
Mansfield,C49,Country,1486887.41,1015,56,42,0,7437,7437,5,200,5156,75,0.015
Murrindindi,C41,Country,1837925.37,996,45,38,0,12373,12373,2,149,7881,207,0.026
Mitchell,C13,Country,15099083.26,997,47,39,0,39140,9785,5,386,26825,950,0.035
Towong,C34,Country,255236.76,992,38,33,0,4992,4992,2,51,3163,69,0.022
Alpine,C2,Country,2381438.7,994,39,34,0,10465,5233,6,228,6808,122,0.018
Moira,C17,Country,4757365.64,951,15,12,0,24179,12090,4,197,12891,235,0.018
Strathbogie,C42,Country,1575659.77,974,26,22,0,9054,9054,4,174,5627,134,0.024
Benalla,C48,Country,5759311.14,951,16,13,0,11603,3868,9,496,6954,215,0.031
Gannawarra,C38,Country,1690859.43,957,18,15,0,8385,8385,5,202,5025,143,0.028
Campaspe,C10,Country,9299310.23,967,23,18,0,30002,7500,7,310,17271,338,0.02
Glenelg,C25,Country,6903658.86,947,12,9,0,15841,3960,8,436,9808,385,0.039
Southern Grampians,C37,Country,5808822.56,992,37,32,0,12697,6349,6,457,8235,254,0.031
Wellington,C12,Country,20999867.27,974,25,21,0,35517,5074,9,591,20357,863,0.042
Wodonga,C15,Country,9192349.56,977,27,23,0,34364,11455,4,267,22986,728,0.032
Warrnambool,C16,Country,18449318.05,986,34,30,0,28027,3503,8,658,18478,511,0.028
Greater Bendigo,C19,Country,45975301.01,981,31,27,0,95456,8678,7,482,62636,2646,0.042
Ballarat,C20,Country,51177397.9,980,29,26,0,89402,6386,7,572,57071,2301,0.04
Swan Hill,C23,Country,8307399.76,947,11,10,0,16109,4027,10,516,10699,299,0.028
Greater Shepparton,C24,Country,32827395.8,948,14,11,0,52362,6545,6,627,30616,761,0.025
Mildura,C27,Country,29180379.62,935,5,3,0,44294,5537,6,659,28217,1108,0.039
East Gippsland,C28,Country,23643779.68,958,19,16,0,39311,3931,8,601,19901,1047,0.053
Bass Coast,C29,Country,14665494.59,967,22,19,0,30906,6181,7,475,16745,680,0.041
Latrobe,C30,Country,39035645.81,931,4,2,0,60553,4658,9,645,34603,2272,0.066
Surf Coast,C33,Country,3378700.17,1077,76,48,0,27418,9139,3,123,21071,242,0.011
South Gippsland,C4,Country,6366275.31,990,35,31,0,23986,5997,4,265,13675,357,0.026
Macedon Ranges,C45,Country,7741945.74,1060,71,46,0,40040,13347,3,193,27996,585,0.021
Horsham,C5,Country,8918822.77,980,30,25,0,15509,5170,10,575,10589,291,0.027
Baw Baw,C6,Country,15653601.5,997,46,40,0,43658,10915,5,359,26399,780,0.03
Wangaratta,C9,Country,8688279.89,983,32,28,0,23498,5874,7,370,15295,391,0.026
Melbourne,M1,Metro,61112470.65,1010,52,0,11,190806,19081,4,320,109728,5506,0.05
Moreland,M10,Metro,46210631.85,1014,54,0,12,159491,13291,4,290,109428,5527,0.051
Darebin,M11,Metro,63516201.15,1004,50,0,9,139796,11650,5,454,93314,4330,0.046
Boroondara,M12,Metro,13129434.81,1097,78,0,30,149258,37315,1,88,105214,2998,0.028
Whitehorse,M13,Metro,39610147.31,1049,69,0,23,148295,24716,3,267,95340,4084,0.043
Manningham,M14,Metro,44169839.07,1066,72,0,25,106090,15156,5,416,68669,2859,0.042
Banyule,M15,Metro,39933306.92,1055,70,0,24,104916,11657,6,381,73003,1979,0.027
Maroondah,M17,Metro,45922626.48,1045,66,0,20,95504,11938,7,481,62450,2118,0.034
Knox,M18,Metro,56216977.91,1048,68,0,22,132338,12031,6,425,87288,2940,0.034
Monash,M19,Metro,84931441.71,1045,67,0,21,171022,11401,6,497,106129,3668,0.035
Port Phillip,M2,Metro,20898871.63,1069,73,0,26,106100,10610,4,197,81248,3155,0.039
Kingston,M20,Metro,62540617.51,1044,65,0,19,134846,8428,7,464,92630,3151,0.034
Greater Dandenong,M21,Metro,102478691.1,896,2,0,1,139108,9936,7,737,82884,7080,0.085
Frankston,M22,Metro,49706086.4,1001,48,0,7,114502,12722,5,434,76193,3483,0.046
Casey,M23,Metro,114664060.3,1004,49,0,8,284736,21903,3,403,212327,13134,0.062
Cardinia,M24,Metro,24313333.94,1021,59,0,14,92419,18484,4,263,70713,3977,0.056
Yarra Ranges,M25,Metro,21873008.93,1040,64,0,18,125755,13973,4,174,84669,2894,0.034
Hume,M27,Metro,104550447.2,947,13,0,3,189744,13553,4,551,124004,10778,0.087
